time	V(vs)
4.769696350167598e-04	9.915175e-01
4.881303493024741e-04	9.923921e-01
4.992910635881883e-04	9.931942e-01
5.104517778739026e-04	9.939238e-01
5.216124921596170e-04	9.945808e-01
5.327732064453313e-04	9.951652e-01
5.439339207310455e-04	9.956771e-01
5.550946350167598e-04	9.961165e-01
5.679294564453312e-04	9.965702e-01
5.807642778739027e-04	9.969823e-01
5.935990993024741e-04	9.973528e-01
6.064339207310455e-04	9.976817e-01
6.192687421596170e-04	9.979690e-01
6.321035635881884e-04	9.982146e-01
6.449383850167599e-04	9.984187e-01
6.619584743024742e-04	9.986543e-01
6.789785635881885e-04	9.988638e-01
6.959986528739028e-04	9.990472e-01
7.130187421596171e-04	9.992045e-01
7.300388314453313e-04	9.993356e-01
7.470589207310458e-04	9.994407e-01
7.640790100167600e-04	9.995196e-01
7.900276707310457e-04	9.996194e-01
8.159763314453314e-04	9.997050e-01
8.419249921596172e-04	9.997766e-01
8.678736528739030e-04	9.998341e-01
8.938223135881887e-04	9.998775e-01
9.197709743024744e-04	9.999067e-01
9.457196350167601e-04	9.999219e-01
1.000001000000000e-03	9.999546e-01
1.000002000000000e-03	9.999496e-01
1.009026039285639e-03	9.151012e-01
1.018050078571278e-03	8.362386e-01
1.027074117856917e-03	7.633615e-01
1.036098157142556e-03	6.964702e-01
1.045122196428195e-03	6.355644e-01
1.054146235713834e-03	5.806443e-01
1.063170274999473e-03	5.317099e-01
1.072098846428044e-03	4.870175e-01
1.081027417856616e-03	4.454553e-01
1.089955989285187e-03	4.070233e-01
1.098884560713759e-03	3.717216e-01
1.107813132142330e-03	3.395502e-01
1.116741703570901e-03	3.105090e-01
1.125670274999473e-03	2.845981e-01
1.134877864285187e-03	2.599853e-01
1.144085453570902e-03	2.371381e-01
1.153293042856616e-03	2.160563e-01
1.162500632142330e-03	1.967402e-01
1.171708221428044e-03	1.791895e-01
1.180915810713759e-03	1.634045e-01
1.190123399999473e-03	1.493849e-01
1.199330989285187e-03	1.364657e-01
